"OLD URL (with id)","NEW URL"
taxonomy/term/1,/academics/area/continuing-education
taxonomy/term/2,/academics/area/military-related
taxonomy/term/3,/academics/area/social-sciences
taxonomy/term/4,/academics/area/health-sciences-nursing
taxonomy/term/5,/academics/area/engineering
taxonomy/term/6,/academics/area/education
taxonomy/term/7,/academics/area/computer-science-math
taxonomy/term/8,/academics/area/communication-writing
taxonomy/term/9,/academics/area/business-management
taxonomy/term/11,/academics/degree/non-credit-course
taxonomy/term/12,/academics/degree/endorsements
taxonomy/term/13,/academics/degree/minors
taxonomy/term/14,/academics/degree/masters-programs
taxonomy/term/15,/academics/degree/doctorate-ed-specialist
taxonomy/term/16,/academics/degree/certificates
taxonomy/term/17,/academics/degree/bachelors-programs
taxonomy/term/18,/taxonomy/term/110
taxonomy/term/19,/taxonomy/term/150
taxonomy/term/20,/taxonomy/term/133
taxonomy/term/21,/taxonomy/term/152
taxonomy/term/22,/taxonomy/term/383
taxonomy/term/23,/taxonomy/term/384
taxonomy/term/24,/taxonomy/term/119
taxonomy/term/25,/taxonomy/term/546
taxonomy/term/26,/taxonomy/term/172
taxonomy/term/27,/taxonomy/term/511
taxonomy/term/28,/taxonomy/term/501
taxonomy/term/30,/taxonomy/term/111
taxonomy/term/31,/taxonomy/term/127
taxonomy/term/32,/taxonomy/term/151
taxonomy/term/33,/taxonomy/term/138
taxonomy/term/34,/taxonomy/term/123
taxonomy/term/35,/taxonomy/term/134
taxonomy/term/36,/taxonomy/term/124
taxonomy/term/37,/taxonomy/term/125
taxonomy/term/38,/taxonomy/term/118
taxonomy/term/39,/taxonomy/term/149
taxonomy/term/40,/taxonomy/term/116
taxonomy/term/41,/taxonomy/term/128
taxonomy/term/42,/taxonomy/term/122
taxonomy/term/43,/taxonomy/term/117
taxonomy/term/44,/taxonomy/term/164
taxonomy/term/45,/taxonomy/term/505
taxonomy/term/46,/taxonomy/term/538
taxonomy/term/47,/taxonomy/term/320
taxonomy/term/48,/taxonomy/term/446
taxonomy/term/49,/taxonomy/term/132
taxonomy/term/50,/taxonomy/term/513
taxonomy/term/51,/taxonomy/term/516
taxonomy/term/53,/taxonomy/term/121
taxonomy/term/54,/taxonomy/term/386
taxonomy/term/55,/taxonomy/term/518
taxonomy/term/56,/taxonomy/term/506
taxonomy/term/58,/taxonomy/term/512
taxonomy/term/59,/taxonomy/term/557
taxonomy/term/60,/taxonomy/term/316
taxonomy/term/61,/taxonomy/term/193
taxonomy/term/62,/taxonomy/term/503
taxonomy/term/63,/taxonomy/term/515
